iata,ident,name,latitude,longitude,iso_country,city
CPX,TJCP,Benjamin Rivera Noriega Airport,18.312954,-65.303893,PR,Culebra
SIG,TJIG,Fernando Luis Ribas Dominicci Airport,18.4568004608154,-66.0980987548828,PR,San Juan
MAZ,TJMZ,Eugenio Maria De Hostos Airport,18.2556991577148,-67.1484985351563,PR,Mayaguez
PSE,TJPS,Mercedita Airport,18.00830078125,-66.5630035400391,PR,Ponce
NRR,TJRV,José Aponte de la Torre Airport,18.2453,-65.643402,PR,Ceiba
SJU,TJSJ,Luis Munoz Marin International Airport,18.4393997192,-66.0018005371,PR,San Juan
VQS,TJVQ,Antonio Rivera Rodriguez Airport,18.1348,-65.493599,PR,Vieques
TKE,TKE,Tenakee Seaplane Base,57.77970123291,-135.21800231934,US,Tenakee Springs
TKL,TKL,Taku Lodge Seaplane Base,58.4897003174,-133.942993164,US,Taku Lodge
SKB,TKPK,Robert L. Bradshaw International Airport,17.3111991882324,-62.7187004089356,KN,Basseterre
NEV,TKPN,Vance W. Amory International Airport,17.2056999206543,-62.589900970459,KN,Charlestown
TLP,TLP,Tumolbil Airport,-4.7748,141.0133,PG,Tumolbil
SLU,TLPC,George F. L. Charles Airport,14.0202,-60.992901,LC,Castries
UVF,TLPL,Hewanorra International Airport,13.7332,-60.952599,LC,Vieux Fort
TLT,TLT,Tuluksak Airport,61.086973,-160.922842,US,Tuluksak
KEA,TM-UT51,Kerki Airport,37.822051,65.135279,TM,Kerki
AUA,TNCA,Queen Beatrix International Airport,12.5014,-70.015198,AW,Oranjestad
BON,TNCB,Flamingo International Airport,12.131,-68.268501,BQ,"Kralendijk, Bonaire"
CUR,TNCC,Hato International Airport,12.1889,-68.959801,CW,Willemstad
EUX,TNCE,F. D. Roosevelt Airport,17.4965000152588,-62.9794006347656,BQ,Sint Eustatius
SXM,TNCM,Princess Juliana International Airport,18.041,-63.108898,SX,Saint Martin
SAB,TNCS,Juancho E. Yrausquin Airport,17.6450004577637,-63.2200012207031,BQ,Saba
TNW,TNW,Jumandy Airport,-1.059722,-77.583333,EC,Tena
TOK,TOK,Torokina Airport,-6.2015,155.063,PG,Torokina
TOV,TOV,Tortola West End Seaplane Base,18.45,-64.583333,VG,Tortola
PTA,TPO,Port Alsworth Airport,60.201681,-154.325863,US,Port Alsworth
TPT,TPT,Tapeta Airport,6.4948,-8.873,LR,Tapeta
AXA,TQPF,Clayton J Lloyd International Airport,18.204773,-63.05383,AI,The Valley
BGG,TR-0017,Bingöl Çeltiksuyu Airport,38.8592605591,40.5959625244,TR,Bingöl
MNI,TRPG,John A. Osborne Airport,16.791401,-62.193298,MS,Gerald's Park
TSG,TSG,Tanacross Airport,63.3744010925,-143.335998535,US,Tanacross
TSI,TSI,Tsile Tsile Airport,-6.8498,146.3554,PG,Tsile Tsile
TAB,TTCP,Tobago-Crown Point Airport,11.1497001647949,-60.8321990966797,TT,Scarborough
POS,TTPP,Piarco International Airport,10.5954,-61.3372,TT,Port of Spain
TTW,TTW,Tissa Tank Waterdrome,6.2876,81.2906,LK,Tissamaharama
TUJ,TUJ,Tum Airport,6.26,35.5184,ET,Tum
NGD,TUPA,Captain Auguste George Airport,18.727734,-64.32852,VG,Anegada
EIS,TUPJ,Terrance B. Lettsome International Airport,18.445492,-64.541707,VG,Road Town
VIJ,TUPW,Virgin Gorda Airport,18.4463996887207,-64.4274978637695,VG,Spanish Town
SVD,TVSA,Argyle International Airport,13.156695,-61.149945,VC,Kingstown
BQU,TVSB,J F Mitchell Airport,12.9884,-61.262001,VC,Bequia
CIW,TVSC,Canouan Airport,12.699,-61.3424,VC,Canouan
MQS,TVSM,Mustique Airport,12.8879,-61.180199,VC,Mustique Island
UNI,TVSU,Union Island International Airport,12.600135,-61.411945,VC,Union Island
DSX,TW-0002,Dongsha Island (Pratas Island) Airport,20.7066,116.721001,TW,Kaohsiung (Cijin - Pratas Island)
CMJ,TW-CMJ,Qimei Airport,23.213127,119.417539,TW,Qimei
TWC,TWC,Tumxuk Tangwangcheng Airport,39.886663,79.233408,CN,Tumxuk
TWH,TWH,Two Harbors Amphibious Terminal,33.4322222222,-118.508611111,US,Two Harbors
BDA,TXKF,L.F. Wade International International Airport,32.3639984130859,-64.6787033081055,BM,Hamilton
TYE,TYE,Tyonek Airport,61.076556,-151.131363,US,Tyonek
GIT,TZ-GIT,Mchauru Airport,-2.813667,32.172472,TZ,Geita
LUY,TZ-LUY,Lushoto Airport,-4.78325986862183,38.30419921875,TZ,Lushoto
TZO,TZO,Tsimiroro Airport,-18.345064,45.015643,MG,Ankisatra
DBS,U41,Dubois Municipal Airport,44.162057,-112.220581,US,Dubois
MXR,UA-0049,Myrhorod Air Base,49.932,33.641,UA,Myrhorod
KHU,UA-0050,Kakhnovka Airfield,49.136799,33.477893,UA,Kremenchuk
ALA,UAAA,Almaty International Airport,43.354267,77.042828,KZ,Almaty
BXH,UAAH,Balkhash Airport,46.8932991027832,75.004997253418,KZ,Balkhash
BXJ,UAAR,Boralday Airport,43.352052,76.883039,KZ,Boralday
TDK,UAAT,Taldykorgan Airport,45.12255,78.442758,KZ,Taldykorgan
NQZ,UACC,Nursultan Nazarbayev International Airport,51.022202,71.466904,KZ,Nur-Sultan
KOV,UACK,Kokshetau Airport,53.329102,69.594597,KZ,Kokshetau
PPK,UACP,Petropavl Airport,54.774702,69.183273,KZ,Petropavl
DMB,UADD,Taraz Airport,42.8535995483398,71.303596496582,KZ,Taraz
UAE,UAE,Mount Aue Airport,-6.23416666667,144.664722222,PG,
IKU,UAFL,Issyk-Kul International Airport,42.585584,76.701181,KG,Tamchy
FRU,UAFM,Manas International Airport,43.0612983704,74.4776000977,KG,Bishkek
OSS,UAFO,Osh Airport,40.6090011597,72.793296814,KG,Osh
CIT,UAII,Shymkent Airport,42.364200592041,69.4788970947266,KZ,Shymkent
HSA,UAIT,Hazrat Sultan International Airport,43.313126,68.549881,KZ,
DZN,UAKD,Zhezkazgan National Airport,47.708953,67.738094,KZ,Zhezkazgan
KGF,UAKK,Sary-Arka Airport,49.670799,73.334396,KZ,Karaganda
KZO,UAOO,Kyzylorda Airport,44.706902,65.592499,KZ,Kyzylorda
URA,UARR,Uralsk Airport,51.1507987976074,51.543098449707,KZ,Uralsk
EKB,UASB,Ekibastuz Airport,51.5909996032715,75.2149963378906,KZ,Ekibastuz
UKK,UASK,Ust-Kamenogorsk Airport,50.036571,82.493477,KZ,Ust-Kamenogorsk (Oskemen)
PWQ,UASP,Pavlodar Airport,52.1949996948242,77.0738983154297,KZ,Pavlodar
PLX,UASS,Semey Airport,50.351295,80.234398,KZ,Semey
SZI,UASZ,Zaysan Airport,47.487491,84.887675,KZ,Zaysan
SCO,UATE,Aktau Airport,43.860093,51.09086,KZ,Aktau
GUW,UATG,Atyrau International Airport,47.122559,51.819321,KZ,Atyrau
AKX,UATT,Aktobe Airport,50.2458,57.206699,KZ,Aktobe
AYK,UAUR,Arkalyk North Airport,50.3185997009277,66.9527969360352,KZ,Arkalyk
KSN,UAUU,Kostanay West Airport,53.206901550293,63.5503005981445,KZ,Kostanay
GYD,UBBB,Heydar Aliyev International Airport,40.4674987792969,50.0466995239258,AZ,Baku
KVD,UBBG,Ganja International Airport,40.737701,46.3176,AZ,Ganja
LLK,UBBL,Lankaran International Airport,38.757919,48.807042,AZ,Lankaran
NAJ,UBBN,Nakhchivan Airport,39.1888008117676,45.4584007263184,AZ,Nakhchivan
GBB,UBBQ,Gabala International Airport,40.808617,47.725389,AZ,Gabala
ZTU,UBBY,Zaqatala International Airport,41.557823,46.669464,AZ,Zaqatala
YLV,UBEE,Yevlakh Airport,40.631901,47.141899,AZ,Yevlakh
UBI,UBI,Buin Airport,-6.72916666667,155.683333333,PG,Buin
LWN,UDSG,Shirak International Airport,40.750401,43.859299,AM,Gyumri
EVN,UDYZ,Zvartnots International Airport,40.1473007202,44.3959007263,AM,Yerevan
BQJ,UEBB,Batagay Airport,67.648002624512,134.69500732422,RU,Batagay
SUK,UEBS,Sakkyryr Airport,67.792,130.394,RU,Batagay-Alyta
UKG,UEBT,Ust-Kuyga Airport,70.011002,135.645004,RU,Ust-Kuyga
TLK,UECT,Talakan Airport,59.876389,111.044444,RU,Talakan Oil Field
ADH,UEEA,Aldan Airport,58.6027984619141,125.408996582031,RU,Aldan
YKS,UEEE,Yakutsk Airport,62.0932998657227,129.77099609375,RU,Yakutsk
NER,UELL,Chulman Airport,56.913898468018,124.91400146484,RU,Neryungri
MQJ,UEMA,Moma Airport,66.450861,143.261551,RU,Khonuu
GYG,UEMM,Magan Airport,62.103484,129.545288,RU,Magan
OLZ,UEMO,Olyokminsk Airport,60.397499,120.471001,RU,Olyokminsk
USR,UEMT,Ust-Nera Airport,64.550003051758,143.11500549316,RU,Ust-Nera
UMS,UEMU,Ust-Maya Airport,60.356998443604,134.43499755859,RU,Ust-Maya
VHV,UENI,Verkhnevilyuisk Airport,63.458057403564,120.26916503906,RU,Verkhnevilyuisk
NYR,UENN,Nyurba Airport,63.294998,118.336998,RU,Nyurba
SUY,UENS,Suntar Airport,62.185001373291,117.63500213623,RU,Suntar
VYI,UENW,Vilyuisk Airport,63.75666809082,121.69333648682,RU,Vilyuisk
ULK,UERL,Lensk Airport,60.7206001282,114.825996399,RU,Lensk
ONK,UERO,Olenyok Airport,68.514999,112.480003,RU,Olenyok
PYJ,UERP,Polyarny Airport,66.4003982544,112.029998779,RU,Yakutia
MJZ,UERR,Mirny Airport,62.5346984863281,114.039001464844,RU,Mirny
SYS,UERS,Saskylakh Airport,71.927902,114.080002,RU,Saskylakh
BGN,UESG,Belaya Gora Airport,68.556227,146.22784,RU,Belaya Gora
SEK,UESK,Srednekolymsk Airport,67.4805,153.7364,RU,Srednekolymsk
CKH,UESO,Chokurdakh Airport,70.6231002807617,147.901992797852,RU,Chokurdah
CYX,UESS,Cherskiy Airport,68.7406005859375,161.337997436523,RU,Cherskiy
IKS,UEST,Tiksi Airport,71.697700500488,128.90299987793,RU,Tiksi
ZKP,UESU,Zyryanka Airport,65.7485,150.8889,RU,Zyryanka
KHX,UG-0002,Savannah Airstrip,-0.7165,29.6997,UG,Kihihi
OYG,UG-OYG,Moyo Airport,3.6444001197815,31.762762069702,UG,Moyo
UGB,UGB,Ugashik Bay Airport,57.424052,-157.74479,US,Pilot Point
KUT,UGKO,David the Builder Kutaisi International Airport,42.176768,42.482393,GE,Kopitnari
BUS,UGSB,Batumi International Airport,41.6102981567,41.5997009277,GE,Batumi
SUI,UGSS,Sukhumi Babushara /  Vladislav Ardzinba International Airport,42.8582,41.128101,GE,Sukhumi
TBS,UGTB,Tbilisi International Airport,41.6692008972,44.95470047,GE,Tbilisi
BQS,UHBB,Ignatyevo Airport,50.4253997802734,127.412002563477,RU,Blagoveschensk
GDG,UHBI,Magdagachi Airport,53.472467,125.798094,RU,Magdagachi
TYD,UHBW,Tynda Airport,55.284199,124.778999,RU,Tynda
KHV,UHHH,Khabarovsk Novy Airport,48.528338,135.188588,RU,Khabarovsk
KXK,UHKK,Komsomolsk-on-Amur Airport,50.4090003967285,136.934005737305,RU,Komsomolsk-on-Amur
GVN,UHKM,Sovetskaya Gavan (Maygatka) Airport,48.925067,140.035348,RU,Sovetskaya Gavan
DYR,UHMA,Ugolny Yuri Ryktheu Airport,64.734902,177.740997,RU,Anadyr
PVS,UHMD,Provideniya Bay Airport,64.3780975341797,-173.24299621582,RU,Chukotka
KPW,UHMK,Keperveem Airport,67.845001,166.139999,RU,Keperveem
